"name","url","source"
"Agent-20","redacted","manual_checklist_x"
"stepfun-ai/gelab-zero","https://github.com/stepfun-ai/gelab-zero","manual_checklist_x"
"DeepMyst/Mysti","https://github.com/DeepMyst/Mysti","manual_checklist_x"
"alvinunreal/tmuxai","https://github.com/alvinunreal/tmuxai","readme_recovered_agent"
"FlowiseAI/Flowise","https://github.com/FlowiseAI/Flowise","manual_checklist_x"
"Onelevenvy/flock","https://github.com/Onelevenvy/flock","manual_checklist_x"
"ntegrals/10x","https://github.com/ntegrals/10x","readme_recovered_agent"
"ruvnet/ruflo","https://github.com/ruvnet/ruflo","readme_recovered_agent"
"landing-ai/vision-agent","https://github.com/landing-ai/vision-agent","uncertain_audit_yes"
"vercel-labs/agent-browser","https://github.com/vercel-labs/agent-browser","manual_checklist_x"
"dromara/liteflow","https://github.com/dromara/liteflow","manual_checklist_x"
"mikeyobrien/ralph-orchestrator","https://github.com/mikeyobrien/ralph-orchestrator","manual_checklist_x"
"yaojingang/GEOFlow","https://github.com/yaojingang/GEOFlow","readme_recovered_agent"
"mayooear/ai-pdf-chatbot-langchain","https://github.com/mayooear/ai-pdf-chatbot-langchain","manual_checklist_x"
"gastownhall/gastown","https://github.com/gastownhall/gastown","manual_checklist_x"
"nageoffer/ragent","https://github.com/nageoffer/ragent","manual_checklist_x"
"jnMetaCode/agency-orchestrator","https://github.com/jnMetaCode/agency-orchestrator","manual_checklist_x"
"yilewang/llm-for-zotero","https://github.com/yilewang/llm-for-zotero","readme_recovered_agent"
"showlab/computer_use_ootb","https://github.com/showlab/computer_use_ootb","manual_checklist_x"
"langwatch/better-agents","https://github.com/langwatch/better-agents","manual_checklist_x"
"ragapp/ragapp","https://github.com/ragapp/ragapp","readme_recovered_agent"
"badlogic/lemmy","https://github.com/badlogic/lemmy","manual_checklist_x"
"Zafer-Liu/Data-Analysis-Agent","https://github.com/Zafer-Liu/Data-Analysis-Agent","manual_checklist_x"
"supabitapp/supacode","https://github.com/supabitapp/supacode","manual_checklist_x"
"jayminwest/overstory","https://github.com/jayminwest/overstory","manual_checklist_x"
"Agent-Field/agentfield","https://github.com/Agent-Field/agentfield","manual_checklist_x"
"evalstate/fast-agent","https://github.com/evalstate/fast-agent","readme_recovered_agent"
"Agent-42","redacted","manual_checklist_x"
"HKUDS/OpenSpace","https://github.com/HKUDS/OpenSpace","manual_checklist_x"
"SamuelSchmidgall/AgentLaboratory","https://github.com/SamuelSchmidgall/AgentLaboratory","manual_checklist_x"
"Kilo-Org/kilocode","https://github.com/Kilo-Org/kilocode","manual_checklist_x"
"openkursar/hello-halo","https://github.com/openkursar/hello-halo","manual_checklist_x"
"wshobson/agents","https://github.com/wshobson/agents","manual_checklist_x"
"BCG-X-Official/agentkit","https://github.com/BCG-X-Official/agentkit","readme_recovered_agent"
"griptape-ai/griptape","https://github.com/griptape-ai/griptape","manual_checklist_x"
"ChesterRa/cccc","https://github.com/ChesterRa/cccc","manual_checklist_x"
"activepieces/activepieces","https://github.com/activepieces/activepieces","manual_checklist_x"
"dynamiq-ai/dynamiq","https://github.com/dynamiq-ai/dynamiq","manual_checklist_x"
"bubbuild/bub","https://github.com/bubbuild/bub","uncertain_audit_yes"
"juanjuandog/FinSight-AI","https://github.com/juanjuandog/FinSight-AI","manual_checklist_x"
"stellarlinkco/myclaude","https://github.com/stellarlinkco/myclaude","manual_checklist_x"
"Agent-40","redacted","manual_checklist_x"
"Agent-29","redacted","readme_recovered_agent"
"creativetimofficial/ui","https://github.com/creativetimofficial/ui","manual_checklist_x"
"starpig1129/DATAGEN","https://github.com/starpig1129/DATAGEN","manual_checklist_x"
"VoltAgent/voltagent","https://github.com/VoltAgent/voltagent","readme_recovered_agent"
"gadievron/raptor","https://github.com/gadievron/raptor","manual_checklist_x"
"X-PLUG/MobileAgent","https://github.com/X-PLUG/MobileAgent","manual_checklist_x"
"SkyworkAI/DeepResearchAgent","https://github.com/SkyworkAI/DeepResearchAgent","manual_checklist_x"
"bugbasesecurity/pentest-copilot","https://github.com/bugbasesecurity/pentest-copilot","manual_checklist_x"
"GCWing/BitFun","https://github.com/GCWing/BitFun","manual_checklist_x"
"facebookresearch/diplomacy_cicero","https://github.com/facebookresearch/diplomacy_cicero","manual_checklist_x"
"kunchenguid/gnhf","https://github.com/kunchenguid/gnhf","readme_recovered_agent"
"CherryHQ/cherry-studio","https://github.com/CherryHQ/cherry-studio","manual_checklist_x"
"Q00/ouroboros","https://github.com/Q00/ouroboros","manual_checklist_x"
"samchon/nestia","https://github.com/samchon/nestia","manual_checklist_x"
"TEN-framework/ten-framework","https://github.com/TEN-framework/ten-framework","manual_checklist_x"
"modelscope/AgentEvolver","https://github.com/modelscope/AgentEvolver","manual_checklist_x"
"FellouAI/eko","https://github.com/FellouAI/eko","manual_checklist_x"
"langchain-ai/open-swe","https://github.com/langchain-ai/open-swe","manual_checklist_x"
"agentscope-ai/agentscope","https://github.com/agentscope-ai/agentscope","manual_checklist_x"
"Agent-07","redacted","disclosure_supplement"
"omnigent-ai/omnigent","https://github.com/omnigent-ai/omnigent","manual_checklist_x"
"shuyu-labs/AntSK","https://github.com/shuyu-labs/AntSK","manual_checklist_x"
"clacky-ai/openclacky","https://github.com/clacky-ai/openclacky","manual_checklist_x"
"eylonmiz/react-agent","https://github.com/eylonmiz/react-agent","manual_checklist_x"
"Panniantong/Agent-Reach","https://github.com/Panniantong/Agent-Reach","manual_checklist_x"
"kuafuai/DevOpsGPT","https://github.com/kuafuai/DevOpsGPT","manual_checklist_x"
"SWE-agent/mini-swe-agent","https://github.com/SWE-agent/mini-swe-agent","manual_checklist_x"
"sourcegraph/cody-public-snapshot","https://github.com/sourcegraph/cody-public-snapshot","manual_checklist_x"
"nexu-io/nexu","https://github.com/nexu-io/nexu","manual_checklist_x"
"beikeshop/beikeshop","https://github.com/beikeshop/beikeshop","manual_checklist_x"
"neuron-core/neuron-ai","https://github.com/neuron-core/neuron-ai","manual_checklist_x"
"run-bigpig/jcp","https://github.com/run-bigpig/jcp","manual_checklist_x"
"sahibzada-allahyar/YC-Killer","https://github.com/sahibzada-allahyar/YC-Killer","manual_checklist_x"
"TransformerOptimus/SuperAGI","https://github.com/TransformerOptimus/SuperAGI","manual_checklist_x"
"BuilderIO/micro-agent","https://github.com/BuilderIO/micro-agent","manual_checklist_x"
"HKUDS/CLI-Anything","https://github.com/HKUDS/CLI-Anything","manual_checklist_x"
"WecoAI/aideml","https://github.com/WecoAI/aideml","readme_recovered_agent"
"olimorris/codecompanion.nvim","https://github.com/olimorris/codecompanion.nvim","manual_checklist_x"
"mhss1/MyBrain","https://github.com/mhss1/MyBrain","readme_recovered_agent"
"VRSEN/agency-swarm","https://github.com/VRSEN/agency-swarm","manual_checklist_x"
"openclaw/Peekaboo","https://github.com/openclaw/Peekaboo","readme_recovered_agent"
"msitarzewski/agency-agents","https://github.com/msitarzewski/agency-agents","manual_checklist_x"
"olivia-ai/olivia","https://github.com/olivia-ai/olivia","readme_recovered_agent"
"undertheseanlp/underthesea","https://github.com/undertheseanlp/underthesea","manual_checklist_x"
"antoinezambelli/forge","https://github.com/antoinezambelli/forge","manual_checklist_x"
"IntelligenzaArtificiale/Free-Auto-GPT","https://github.com/IntelligenzaArtificiale/Free-Auto-GPT","manual_checklist_x"
"SciPhi-AI/R2R","https://github.com/SciPhi-AI/R2R","readme_recovered_agent"
"morettt/my-neuro","https://github.com/morettt/my-neuro","readme_recovered_agent"
"MervinPraison/PraisonAI","https://github.com/MervinPraison/PraisonAI","manual_checklist_x"
"Y-Research-SBU/QuantAgent","https://github.com/Y-Research-SBU/QuantAgent","manual_checklist_x"
"Agent-47","redacted","uncertain_audit_yes"
"Light-Heart-Labs/DreamServer","https://github.com/Light-Heart-Labs/DreamServer","readme_recovered_agent"
"AIPexStudio/AIPex","https://github.com/AIPexStudio/AIPex","manual_checklist_x"
"Pickle-Pixel/ApplyPilot","https://github.com/Pickle-Pixel/ApplyPilot","manual_checklist_x"
"zts212653/clowder-ai","https://github.com/zts212653/clowder-ai","manual_checklist_x"
"kayba-ai/agentic-context-engine","https://github.com/kayba-ai/agentic-context-engine","manual_checklist_x"
"StreetLamb/tribe","https://github.com/StreetLamb/tribe","manual_checklist_x"
"langchain-ai/langgraphjs","https://github.com/langchain-ai/langgraphjs","uncertain_audit_yes"
"LoRexxar/Kunlun-M","https://github.com/LoRexxar/Kunlun-M","manual_checklist_x"
"RunMaestro/Maestro","https://github.com/RunMaestro/Maestro","manual_checklist_x"
"walter-grace/mac-code","https://github.com/walter-grace/mac-code","manual_checklist_x"
"xenodium/agent-shell","https://github.com/xenodium/agent-shell","manual_checklist_x"
"langroid/langroid","https://github.com/langroid/langroid","manual_checklist_x"
"getkimchi/kimchi","https://github.com/getkimchi/kimchi","manual_checklist_x"
"kyegomez/swarms","https://github.com/kyegomez/swarms","manual_checklist_x"
"Agent-27","redacted","manual_checklist_x"
"langchain-ai/deep-agents-ui","https://github.com/langchain-ai/deep-agents-ui","manual_checklist_x"
"OpenGVLab/ScaleCUA","https://github.com/OpenGVLab/ScaleCUA","manual_checklist_x"
"Agent-17","redacted","disclosure_supplement"
"osaurus-ai/osaurus","https://github.com/osaurus-ai/osaurus","manual_checklist_x"
"Planetary-Computers/autotab-starter","https://github.com/Planetary-Computers/autotab-starter","manual_checklist_x"
"agentheroes/agentheroes","https://github.com/agentheroes/agentheroes","uncertain_audit_yes"
"rotemweiss57/gpt-newspaper","https://github.com/rotemweiss57/gpt-newspaper","manual_checklist_x"
"1517005260/graph-rag-agent","https://github.com/1517005260/graph-rag-agent","manual_checklist_x"
"nesquena/hermes-webui","https://github.com/nesquena/hermes-webui","manual_checklist_x"
"Atmosphere/atmosphere","https://github.com/Atmosphere/atmosphere","manual_checklist_x"
"Fullive-AI/Anima","https://github.com/Fullive-AI/Anima","manual_checklist_x"
"mudler/LocalAGI","https://github.com/mudler/LocalAGI","manual_checklist_x"
"langgraph4j/langgraph4j","https://github.com/langgraph4j/langgraph4j","manual_checklist_x"
"google/adk-python","https://github.com/google/adk-python","manual_checklist_x"
"openchamber/openchamber","https://github.com/openchamber/openchamber","manual_checklist_x"
"microsoft/agent-framework","https://github.com/microsoft/agent-framework","manual_checklist_x"
"gptscript-ai/gptscript","https://github.com/gptscript-ai/gptscript","readme_recovered_agent"
"lupantech/AgentFlow","https://github.com/lupantech/AgentFlow","manual_checklist_x"
"muellerberndt/mini-agi","https://github.com/muellerberndt/mini-agi","manual_checklist_x"
"Agent-35","redacted","readme_recovered_agent"
"zgsm-ai/costrict","https://github.com/zgsm-ai/costrict","manual_checklist_x"
"CommandCodeAI/BaseAI","https://github.com/CommandCodeAI/BaseAI","manual_checklist_x"
"xingyaoww/code-act","https://github.com/xingyaoww/code-act","readme_recovered_agent"
"ColeMurray/background-agents","https://github.com/ColeMurray/background-agents","manual_checklist_x"
"chaterm/Chaterm","https://github.com/chaterm/Chaterm","manual_checklist_x"
"PaperDebugger/paperdebugger","https://github.com/PaperDebugger/paperdebugger","manual_checklist_x"
"langchain-ai/agents-from-scratch","https://github.com/langchain-ai/agents-from-scratch","readme_recovered_agent"
"stagewise-io/stagewise","https://github.com/stagewise-io/stagewise","manual_checklist_x"
"GaiZhenbiao/ChuanhuChatGPT","https://github.com/GaiZhenbiao/ChuanhuChatGPT","readme_recovered_agent"
"SolaceLabs/solace-agent-mesh","https://github.com/SolaceLabs/solace-agent-mesh","manual_checklist_x"
"microsoft/Webwright","https://github.com/microsoft/Webwright","manual_checklist_x"
"flyerhq/flutter_chat_ui","https://github.com/flyerhq/flutter_chat_ui","manual_checklist_x"
"langflow-ai/langflow","https://github.com/langflow-ai/langflow","manual_checklist_x"
"nullclaw/nullclaw","https://github.com/nullclaw/nullclaw","readme_recovered_agent"
"Agent-26","redacted","manual_checklist_x"
"HKUDS/ClawTeam","https://github.com/HKUDS/ClawTeam","manual_checklist_x"
"fogsightai/fogsight","https://github.com/fogsightai/fogsight","manual_checklist_x"
"justLV/onju-voice","https://github.com/justLV/onju-voice","readme_recovered_agent"
"QwenLM/qwen-code","https://github.com/QwenLM/qwen-code","manual_checklist_x"
"1Panel-dev/MaxKB","https://github.com/1Panel-dev/MaxKB","manual_checklist_x"
"future-agi/future-agi","https://github.com/future-agi/future-agi","manual_checklist_x"
"inkeep/agents","https://github.com/inkeep/agents","readme_recovered_agent"
"kagent-dev/kagent","https://github.com/kagent-dev/kagent","manual_checklist_x"
"strnad/CrewAI-Studio","https://github.com/strnad/CrewAI-Studio","manual_checklist_x"
"TrafficGuard/typedai","https://github.com/TrafficGuard/typedai","manual_checklist_x"
"shaxiu/XianyuAutoAgent","https://github.com/shaxiu/XianyuAutoAgent","readme_recovered_agent"
"KwaiKEG/KwaiAgents","https://github.com/KwaiKEG/KwaiAgents","readme_recovered_agent"
"johnson7788/MultiAgentPPT","https://github.com/johnson7788/MultiAgentPPT","manual_checklist_x"
"yorgai/ORG2","https://github.com/yorgai/ORG2","manual_checklist_x"
"microsoft/fara","https://github.com/microsoft/fara","manual_checklist_x"
"inclusionAI/UI-Venus","https://github.com/inclusionAI/UI-Venus","manual_checklist_x"
"polyuiislab/infiAgent","https://github.com/polyuiislab/infiAgent","manual_checklist_x"
"langchain-ai/deepagentsjs","https://github.com/langchain-ai/deepagentsjs","manual_checklist_x"
"Upsonic/Upsonic","https://github.com/Upsonic/Upsonic","manual_checklist_x"
"opactorai/Claudable","https://github.com/opactorai/Claudable","manual_checklist_x"
"GetBindu/Bindu","https://github.com/GetBindu/Bindu","manual_checklist_x"
"google/adk-js","https://github.com/google/adk-js","manual_checklist_x"
"Kuberwastaken/claurst","https://github.com/Kuberwastaken/claurst","manual_checklist_x"
"waooAI/waoowaoo","https://github.com/waooAI/waoowaoo","manual_checklist_x"
"coze-dev/coze-studio","https://github.com/coze-dev/coze-studio","manual_checklist_x"
"aiming-lab/MetaClaw","https://github.com/aiming-lab/MetaClaw","readme_recovered_agent"
